transaction_id,date,vendor_id,vendor_country,commodity,unit_price_usd,market_spot_price,commodity_mean_price,commodity_std_price,z_score,is_fraud
TRX_007692,2023-12-24,VND_0009,Sanctioned_Proxy_Beta,Gold_Bullion,3673.7324,2057.1,1953.9473,133.1314,12.918,1
TRX_003649,2023-05-11,VND_0058,Australia,Gold_Bullion,3593.7924,2014.7,1953.9473,133.1314,12.3175,1
TRX_007071,2023-07-19,VND_0298,Japan,Gold_Bullion,3497.264,1977.5,1953.9473,133.1314,11.5924,1
TRX_005249,2023-11-24,VND_0233,Canada,Gold_Bullion,3477.3371,2002.2,1953.9473,133.1314,11.4428,1
TRX_008726,2023-07-28,VND_0027,United States,Silver_Ingot,44.2268,24.37,23.5326,1.8176,11.3857,1
TRX_005865,2023-04-15,VND_0143,Canada,Gold_Bullion,3442.0729,2002.2,1953.9473,133.1314,11.1779,1
TRX_010391,2023-02-28,VND_0193,United States,Copper_Cathode,7.2728,4.1,3.8866,0.3098,10.9292,1
TRX_008900,2023-04-06,VND_0163,Japan,Gold_Bullion,3403.9275,2011.9,1953.9473,133.1314,10.8913,1
TRX_001040,2023-06-03,VND_0183,Singapore,Gold_Bullion,3403.4147,1952.4,1953.9473,133.1314,10.8875,1
TRX_014076,2023-03-02,VND_0221,Canada,Aluminum_Ingot,4290.5383,2367.25,2278.4819,185.7981,10.8293,1
TRX_005911,2023-05-14,VND_0206,Canada,Gold_Bullion,3390.9929,2014.5,1953.9473,133.1314,10.7942,1
TRX_010792,2023-04-15,VND_0218,Switzerland,Silver_Ingot,43.1235,25.42,23.5326,1.8176,10.7787,1
TRX_012712,2023-04-04,VND_0210,Switzerland,Silver_Ingot,42.8845,25.02,23.5326,1.8176,10.6472,1
TRX_005596,2023-06-10,VND_0160,Australia,Gold_Bullion,3348.4127,1962.2,1953.9473,133.1314,10.4744,1
TRX_002808,2023-03-02,VND_0210,Switzerland,Copper_Cathode,7.0992,4.08,3.8866,0.3098,10.3687,1
TRX_001710,2023-09-09,VND_0217,Japan,Gold_Bullion,3333.1504,1918.4,1953.9473,133.1314,10.3597,1
TRX_013369,2023-09-20,VND_0101,Sanctioned_Proxy_Alpha,Gold_Bullion,3318.6982,1945.6,1953.9473,133.1314,10.2512,1
TRX_004395,2023-04-22,VND_0136,Germany,Gold_Bullion,3313.3075,1979.5,1953.9473,133.1314,10.2107,1
