vendor_country,total_txns,unique_vendors,total_volume_mUSD,avg_txn_usd,max_txn_usd,fraud_txns,fraud_rate_pct,avg_price_dev_pct,cumulative_volume_mUSD
Sanctioned_Proxy_Alpha,1709,35,4191.349,2452515.7,118617500.0,126,7.37,1.69,4191.349
Canada,2004,40,3132.028,1562888.34,22705849.93,39,1.95,1.58,7323.377
Sanctioned_Proxy_Beta,1248,25,2266.203,1815867.82,183686617.68,80,6.41,1.59,9589.58
Australia,1264,25,2065.867,1634388.26,23148175.31,19,1.5,1.38,11655.447
Japan,2058,42,1788.916,869249.89,32105653.77,37,1.8,1.53,13444.363
United States,1542,30,1459.343,946395.99,16493699.33,31,2.01,1.7,14903.706
Singapore,1451,29,1357.621,935645.26,35088718.54,38,2.62,1.83,16261.327000000001
Switzerland,1352,26,1316.537,973769.86,29797953.3,51,3.77,1.5,17577.864
United Arab Emirates,1080,22,1137.665,1053393.44,17042597.58,21,1.94,1.28,18715.529
Germany,1322,26,874.672,661627.95,16828351.31,31,2.34,1.61,19590.201
