Transaction_ID,Date,Vendor_ID,Vendor_Country,Commodity,Volume_MT,Market_Spot_Price,Unit_Price_USD,Total_Value_USD,Payment_Method,Is_Fraud_Ground_Truth,Fraud_Type
TRX_013854,2023-01-01,VND_0032,Germany,Silver_Ingot,150.69,24.06,24.02,3620.26,Open_Account,0,None
TRX_014198,2023-01-01,VND_0105,Singapore,Silver_Ingot,223.8,24.06,23.86,5340.69,Wire,0,None
TRX_001362,2023-01-01,VND_0028,Germany,Copper_Cathode,330.82,3.77,3.84,1270.39,Letter_of_Credit,0,None
TRX_010551,2023-01-01,VND_0144,Australia,Gold_Bullion,3785.62,1839.7,1853.86,7017984.12,Letter_of_Credit,0,None
TRX_010281,2023-01-01,VND_0165,Canada,Gold_Bullion,5777.6,1839.7,1862.6,10761366.36,Letter_of_Credit,0,None
TRX_001619,2023-01-01,VND_0145,Sanctioned_Proxy_Alpha,Aluminum_Ingot,150.46,2325.25,2283.22,343539.81,Open_Account,0,None
TRX_014824,2023-01-01,VND_0107,Singapore,Aluminum_Ingot,484.81,2325.25,2349.45,1139032.61,Open_Account,0,None
TRX_002415,2023-01-01,VND_0224,United Arab Emirates,Gold_Bullion,1412.43,1839.7,1841.42,2600879.44,Letter_of_Credit,0,None
TRX_005570,2023-01-01,VND_0095,Singapore,Gold_Bullion,463.42,1839.7,1806.58,837212.88,Letter_of_Credit,0,None
TRX_009750,2023-01-01,VND_0095,Singapore,Copper_Cathode,330.55,3.77,3.78,1250.35,Letter_of_Credit,0,None
TRX_011049,2023-01-01,VND_0198,Japan,Aluminum_Ingot,872.16,2325.25,2291.34,1998414.22,Open_Account,0,None
TRX_003092,2023-01-01,VND_0139,Australia,Gold_Bullion,201.22,1839.7,1871.56,376591.96,Letter_of_Credit,0,None
TRX_013338,2023-01-01,VND_0219,Singapore,Gold_Bullion,58.87,1839.7,1864.29,109746.27,Open_Account,0,None
TRX_002211,2023-01-01,VND_0042,Australia,Gold_Bullion,411.49,1839.7,1868.91,769041.98,Letter_of_Credit,0,None
TRX_004653,2023-01-01,VND_0065,United Arab Emirates,Copper_Cathode,295.29,3.77,3.74,1103.66,Wire,0,None
TRX_004087,2023-01-01,VND_0113,Canada,Gold_Bullion,2412.6,1839.7,1862.71,4493958.16,Wire,0,None
TRX_004921,2023-01-01,VND_0166,Canada,Gold_Bullion,706.29,1839.7,1806.74,1276077.89,Open_Account,0,None
TRX_000088,2023-01-01,VND_0211,Japan,Silver_Ingot,1436.99,24.06,23.87,34301.43,Wire,0,None
TRX_008327,2023-01-01,VND_0014,Japan,Gold_Bullion,4069.64,1839.7,1838.3,7481240.02,Letter_of_Credit,0,None
TRX_004981,2023-01-01,VND_0129,Canada,Gold_Bullion,200.77,1839.7,1850.64,371552.5,Wire,0,None
TRX_002953,2023-01-01,VND_0029,Singapore,Gold_Bullion,403.36,1839.7,1854.66,748092.44,Wire,0,None
TRX_007540,2023-01-01,VND_0101,Sanctioned_Proxy_Alpha,Gold_Bullion,313.95,1839.7,1825.24,573038.99,Letter_of_Credit,0,None
TRX_002501,2023-01-01,VND_0249,United States,Copper_Cathode,1361.59,3.77,3.81,5184.34,Open_Account,0,None
TRX_000695,2023-01-01,VND_0247,Sanctioned_Proxy_Alpha,Copper_Cathode,338.42,3.77,3.78,1280.33,Letter_of_Credit,0,None
TRX_009723,2023-01-01,VND_0197,Sanctioned_Proxy_Beta,Aluminum_Ingot,1168.56,2325.25,2344.81,2740060.3,Wire,0,None
TRX_006786,2023-01-01,VND_0027,United States,Aluminum_Ingot,377.36,2325.25,2307.71,870839.94,Wire,0,None
TRX_009837,2023-01-01,VND_0052,United Arab Emirates,Gold_Bullion,1765.89,1839.7,1868.62,3299780.43,Open_Account,0,None
TRX_011841,2023-01-01,VND_0110,Germany,Copper_Cathode,471.93,3.77,3.73,1760.37,Wire,0,None
TRX_015006,2023-01-01,VND_0024,Switzerland,Copper_Cathode,2618.11,3.77,3.77,9859.82,Wire,1,Structuring
TRX_011240,2023-01-01,VND_0067,United Arab Emirates,Silver_Ingot,1718.78,24.06,24.42,41978.34,Open_Account,0,None
TRX_012482,2023-01-01,VND_0274,Japan,Aluminum_Ingot,435.46,2325.25,2284.81,994953.75,Wire,0,None
TRX_000073,2023-01-01,VND_0074,Sanctioned_Proxy_Alpha,Silver_Ingot,268.65,24.06,24.08,6468.5,Letter_of_Credit,0,None
TRX_009658,2023-01-01,VND_0101,Sanctioned_Proxy_Alpha,Gold_Bullion,389.91,1839.7,1862.35,726151.03,Letter_of_Credit,0,None
TRX_012948,2023-01-01,VND_0066,Germany,Copper_Cathode,185.12,3.77,3.74,691.59,Letter_of_Credit,0,None
TRX_009396,2023-01-01,VND_0284,Sanctioned_Proxy_Alpha,Gold_Bullion,81.54,1839.7,1828.05,149056.46,Open_Account,0,None
TRX_008760,2023-01-01,VND_0204,United States,Aluminum_Ingot,323.36,2325.25,2314.07,748270.67,Letter_of_Credit,0,None
TRX_006330,2023-01-01,VND_0178,Singapore,Aluminum_Ingot,226.21,2325.25,2335.53,528313.33,Letter_of_Credit,0,None
TRX_014505,2023-01-01,VND_0041,Sanctioned_Proxy_Beta,Gold_Bullion,464.1,1839.7,1858.77,862661.91,Open_Account,0,None
TRX_006167,2023-01-01,VND_0012,United States,Aluminum_Ingot,418.0,2325.25,2308.82,965087.8,Open_Account,0,None
TRX_013594,2023-01-01,VND_0285,Sanctioned_Proxy_Alpha,Copper_Cathode,407.76,3.77,3.7,1509.68,Wire,0,None
TRX_000301,2023-01-01,VND_0135,Singapore,Aluminum_Ingot,611.97,2325.25,2339.91,1431953.54,Open_Account,0,None
TRX_005060,2023-01-02,VND_0102,Sanctioned_Proxy_Alpha,Gold_Bullion,446.67,1839.7,1866.32,833619.1,Letter_of_Credit,0,None
TRX_012349,2023-01-02,VND_0129,Canada,Aluminum_Ingot,1203.35,2325.25,2312.54,2782787.84,Letter_of_Credit,0,None
TRX_011065,2023-01-02,VND_0232,United Arab Emirates,Gold_Bullion,352.69,1839.7,1844.83,650645.63,Open_Account,0,None
TRX_008812,2023-01-02,VND_0019,Sanctioned_Proxy_Alpha,Gold_Bullion,262.27,1839.7,1830.58,480103.07,Open_Account,0,None
TRX_014732,2023-01-02,VND_0122,Singapore,Gold_Bullion,568.92,1839.7,1803.72,1026174.91,Open_Account,0,None
TRX_013813,2023-01-02,VND_0203,Canada,Gold_Bullion,73.34,1839.7,1867.06,136924.82,Wire,0,None
TRX_001458,2023-01-02,VND_0084,Japan,Gold_Bullion,317.23,1839.7,1806.15,572963.43,Letter_of_Credit,0,None
TRX_008464,2023-01-02,VND_0244,Japan,Aluminum_Ingot,1313.06,2325.25,2340.32,3072993.53,Open_Account,0,None
TRX_012274,2023-01-02,VND_0284,Sanctioned_Proxy_Alpha,Copper_Cathode,588.82,3.77,3.7,2177.63,Open_Account,0,None
TRX_010415,2023-01-02,VND_0009,Sanctioned_Proxy_Beta,Aluminum_Ingot,273.23,2325.25,2330.4,636736.05,Wire,0,None
TRX_012529,2023-01-02,VND_0012,United States,Silver_Ingot,201.88,24.06,24.39,4923.42,Wire,0,None
TRX_006461,2023-01-02,VND_0053,Sanctioned_Proxy_Beta,Silver_Ingot,656.48,24.06,24.09,15815.0,Open_Account,0,None
TRX_001347,2023-01-02,VND_0103,Australia,Gold_Bullion,486.21,1839.7,1866.85,907682.64,Wire,0,None
TRX_008105,2023-01-02,VND_0266,Switzerland,Silver_Ingot,659.86,24.06,23.68,15624.41,Letter_of_Credit,0,None
TRX_011693,2023-01-02,VND_0273,Australia,Gold_Bullion,699.37,1839.7,1833.72,1282444.93,Letter_of_Credit,0,None
TRX_009418,2023-01-02,VND_0090,Japan,Copper_Cathode,730.89,3.77,3.82,2792.86,Letter_of_Credit,0,None
TRX_004231,2023-01-02,VND_0131,Australia,Gold_Bullion,1231.56,1839.7,1849.91,2278276.51,Wire,0,None
TRX_006163,2023-01-02,VND_0162,United States,Silver_Ingot,687.46,24.06,24.33,16727.13,Open_Account,0,None
TRX_013263,2023-01-02,VND_0230,United States,Aluminum_Ingot,779.52,2325.25,2368.82,1846532.36,Letter_of_Credit,0,None
TRX_012711,2023-01-02,VND_0149,United Arab Emirates,Silver_Ingot,1304.74,24.06,23.95,31245.0,Wire,0,None
TRX_012600,2023-01-02,VND_0021,Sanctioned_Proxy_Alpha,Aluminum_Ingot,226.95,2325.25,2358.39,535229.61,Wire,0,None
TRX_009618,2023-01-02,VND_0120,Canada,Gold_Bullion,518.71,1839.7,1804.1,935800.03,Letter_of_Credit,0,None
TRX_000328,2023-01-02,VND_0001,United States,Silver_Ingot,77.09,24.06,23.85,1838.52,Letter_of_Credit,0,None
TRX_009205,2023-01-02,VND_0144,Australia,Gold_Bullion,146.05,1839.7,1811.04,264507.51,Letter_of_Credit,0,None
TRX_008158,2023-01-02,VND_0104,Sanctioned_Proxy_Beta,Gold_Bullion,51.94,1839.7,2909.2431329388814,151106.0883248455,Open_Account,1,Over_Invoicing
TRX_000999,2023-01-02,VND_0073,Germany,Gold_Bullion,1237.37,1839.7,1857.79,2298766.58,Letter_of_Credit,0,None
TRX_008131,2023-01-02,VND_0224,United Arab Emirates,Aluminum_Ingot,367.75,2325.25,2318.74,852716.18,Letter_of_Credit,0,None
TRX_011361,2023-01-02,VND_0205,United Arab Emirates,Silver_Ingot,899.39,24.06,24.07,21646.53,Letter_of_Credit,0,None
TRX_008291,2023-01-02,VND_0138,United States,Copper_Cathode,2506.46,3.77,3.76,9414.13,Open_Account,0,None
TRX_006232,2023-01-02,VND_0015,Japan,Copper_Cathode,152.66,3.77,3.74,570.58,Open_Account,0,None
TRX_014629,2023-01-02,VND_0047,Singapore,Copper_Cathode,577.43,3.77,5.49680570733924,3174.020519588897,Wire,1,Over_Invoicing
TRX_004965,2023-01-02,VND_0014,Japan,Gold_Bullion,518.51,1839.7,1814.68,940923.71,Letter_of_Credit,0,None
TRX_013789,2023-01-02,VND_0082,United Arab Emirates,Aluminum_Ingot,467.31,2325.25,2354.04,1100057.13,Letter_of_Credit,0,None
TRX_003100,2023-01-02,VND_0099,Germany,Copper_Cathode,843.47,3.77,3.75,3161.84,Open_Account,0,None
TRX_011457,2023-01-02,VND_0056,United States,Copper_Cathode,47.32,3.77,3.76,178.0,Wire,0,None
TRX_012033,2023-01-02,VND_0202,Japan,Silver_Ingot,534.33,24.06,23.93,12787.39,Letter_of_Credit,0,None
TRX_004150,2023-01-02,VND_0128,United States,Aluminum_Ingot,801.61,2325.25,2365.98,1896594.43,Open_Account,0,None
TRX_000258,2023-01-02,VND_0074,Sanctioned_Proxy_Alpha,Copper_Cathode,1096.93,3.77,3.75,4115.91,Wire,0,None
TRX_013229,2023-01-02,VND_0021,Sanctioned_Proxy_Alpha,Copper_Cathode,454.88,3.77,3.71,1688.32,Wire,0,None
TRX_012211,2023-01-02,VND_0209,Australia,Gold_Bullion,94.5,1839.7,1835.92,173498.04,Letter_of_Credit,0,None
TRX_014133,2023-01-02,VND_0253,Japan,Copper_Cathode,2029.28,3.77,3.71,7519.56,Letter_of_Credit,0,None
TRX_009645,2023-01-02,VND_0171,Germany,Copper_Cathode,231.11,3.77,3.75,865.83,Wire,0,None
