transaction_id,vendor_id,vendor_country,date,total_value_usd,payment_method,near_ctr_count
TRX_003305,VND_0003,Japan,2023-06-06,9553.81,Letter_of_Credit,5
TRX_008979,VND_0003,Japan,2023-06-07,9618.79,Wire,5
TRX_008379,VND_0003,Japan,2023-12-05,7857.15,Letter_of_Credit,5
TRX_008389,VND_0003,Japan,2023-12-17,7535.13,Letter_of_Credit,5
TRX_004263,VND_0003,Japan,2023-12-22,8225.32,Open_Account,5
TRX_000031,VND_0005,Germany,2023-01-23,8705.43,Open_Account,4
TRX_010228,VND_0005,Germany,2023-03-20,8966.49,Open_Account,4
TRX_004811,VND_0005,Germany,2023-08-13,8449.54,Letter_of_Credit,4
TRX_008530,VND_0005,Germany,2023-09-23,7831.42,Wire,4
TRX_007889,VND_0016,Sanctioned_Proxy_Alpha,2023-08-29,7991.59,Letter_of_Credit,2
TRX_011562,VND_0016,Sanctioned_Proxy_Alpha,2023-09-04,9429.91,Wire,2
TRX_005402,VND_0017,Sanctioned_Proxy_Beta,2023-08-11,7519.17,Letter_of_Credit,2
TRX_006294,VND_0017,Sanctioned_Proxy_Beta,2023-10-23,7700.19,Open_Account,2
TRX_003046,VND_0020,Japan,2023-02-20,7722.95,Open_Account,2
TRX_000586,VND_0020,Japan,2023-08-18,8278.34,Open_Account,2
TRX_009380,VND_0021,Sanctioned_Proxy_Alpha,2023-09-14,9116.62,Open_Account,2
TRX_011603,VND_0021,Sanctioned_Proxy_Alpha,2023-11-06,9299.92,Open_Account,2
TRX_015006,VND_0024,Switzerland,2023-01-01,9859.82,Wire,36
TRX_015026,VND_0024,Switzerland,2023-01-21,9950.84,Wire,36
TRX_015017,VND_0024,Switzerland,2023-01-22,9903.12,Wire,36
TRX_009487,VND_0024,Switzerland,2023-01-28,8003.86,Open_Account,36
TRX_015010,VND_0024,Switzerland,2023-02-19,9850.64,Wire,36
TRX_015023,VND_0024,Switzerland,2023-02-21,9803.84,Wire,36
TRX_000967,VND_0024,Switzerland,2023-03-02,7725.57,Open_Account,36
TRX_015001,VND_0024,Switzerland,2023-03-02,9954.56,Wire,36
TRX_015003,VND_0024,Switzerland,2023-04-20,9947.59,Wire,36
TRX_015018,VND_0024,Switzerland,2023-04-21,9899.36,Wire,36
TRX_015000,VND_0024,Switzerland,2023-05-15,9924.99,Wire,36
TRX_015019,VND_0024,Switzerland,2023-05-26,9874.2,Wire,36
TRX_015014,VND_0024,Switzerland,2023-05-29,9824.77,Wire,36
TRX_015015,VND_0024,Switzerland,2023-06-28,9942.02,Wire,36
TRX_015028,VND_0024,Switzerland,2023-07-16,9891.54,Wire,36
TRX_015008,VND_0024,Switzerland,2023-07-25,9960.57,Wire,36
