vendor_id,n_txns,total_volume_usd,avg_price_dev_pct,max_price_dev_pct,any_sanctioned,near_ctr_txns,tbml_risk_tier
VND_0212,39,290876679.3138723,0.98,1.97,1,0,HIGH
VND_0019,46,288038625.7328002,1.91,48.36,1,0,HIGH
VND_0009,56,257571211.90399015,2.29,78.59,1,1,HIGH
VND_0277,41,237135599.24,1.06,1.94,1,2,HIGH
VND_0176,49,222580534.27192363,0.91,1.86,1,1,HIGH
VND_0142,57,220619969.63,1.04,1.94,1,2,HIGH
VND_0152,53,189477756.59420398,3.43,67.01,1,1,HIGH
VND_0127,59,188410633.07300803,0.88,2.23,1,0,HIGH
VND_0186,53,179734370.7822191,2.11,63.19,1,3,HIGH
VND_0247,54,179269469.32,0.84,1.94,1,0,HIGH
VND_0269,67,173524449.57725066,1.74,54.01,1,1,HIGH
VND_0102,56,172147811.23,0.95,1.98,1,2,HIGH
VND_0130,58,171992855.54995805,2.27,76.96,1,2,HIGH
VND_0250,41,169747665.15065005,1.13,2.04,1,2,HIGH
VND_0123,52,166002156.02,0.97,1.99,1,3,HIGH
VND_0111,48,156332302.3,0.95,1.95,1,1,HIGH
VND_0007,46,150825838.18,0.98,1.92,1,1,HIGH
VND_0214,49,142597335.52169186,0.94,1.94,1,2,HIGH
VND_0299,67,141931140.6808695,1.0,1.96,1,3,HIGH
VND_0154,61,140934079.55,1.04,1.94,1,1,HIGH
VND_0041,53,133956649.2543924,2.14,61.91,1,2,HIGH
VND_0282,37,131512648.94,1.09,2.07,1,1,HIGH
VND_0074,40,125527527.01025443,0.86,1.97,1,4,HIGH
VND_0119,56,121131468.05651979,1.99,51.61,1,2,HIGH
VND_0140,50,113049565.61477098,5.77,69.07,1,3,HIGH
VND_0292,48,112616802.68,0.97,1.99,1,1,HIGH
VND_0194,52,101753777.54073727,3.26,69.86,1,2,HIGH
VND_0297,41,90702130.35,1.03,1.95,1,1,HIGH
VND_0284,49,88816631.41956514,2.41,70.04,1,1,HIGH
VND_0091,59,82608792.47,1.04,2.04,1,1,HIGH
VND_0285,51,81025316.98,0.86,2.0,1,1,HIGH
VND_0169,46,80852961.46738808,2.11,53.41,1,2,HIGH
VND_0125,55,79961516.66398197,2.06,54.98,1,4,HIGH
VND_0164,61,78927906.97010514,1.0,1.98,1,3,HIGH
VND_0017,44,75974122.1818805,2.8,79.1,1,2,HIGH
VND_0180,48,75040699.64,1.06,2.05,1,2,HIGH
VND_0215,56,72586177.87535866,1.9,52.47,1,3,HIGH
VND_0276,47,70496432.55259193,1.08,2.06,1,1,HIGH
VND_0146,48,70157350.30671,2.0,49.95,1,2,HIGH
VND_0016,52,58461391.126481235,1.99,54.56,1,2,HIGH
VND_0195,41,57884838.37801945,1.01,2.09,1,2,HIGH
VND_0104,45,51689646.550992586,2.19,58.14,1,0,HIGH
VND_0101,49,50403884.13375903,2.45,70.57,1,2,HIGH
VND_0080,42,49931576.04,0.98,1.9,1,0,HIGH
VND_0288,45,49552907.60777905,2.29,61.37,1,1,HIGH
VND_0207,44,49521721.42,1.02,1.97,1,1,HIGH
VND_0045,43,46320131.3747042,2.45,63.35,1,1,HIGH
VND_0053,50,45436637.6480817,2.19,60.47,1,5,HIGH
VND_0145,43,40748491.53737495,0.95,1.99,1,0,HIGH
VND_0197,54,38194862.734345235,1.79,43.74,1,0,HIGH
VND_0051,42,36978469.99726334,1.12,2.08,1,1,HIGH
VND_0072,49,35316150.236268885,2.18,59.1,1,1,HIGH
VND_0151,55,34153761.33697647,3.2,79.09,1,4,HIGH
VND_0173,47,33291581.180012777,1.01,1.97,1,1,HIGH
VND_0021,51,30809590.574416373,2.24,59.3,1,2,HIGH
VND_0237,53,27702708.69,1.01,1.95,1,2,HIGH
VND_0049,38,27577976.0,1.09,1.99,1,0,HIGH
VND_0177,45,26293981.349636123,0.91,1.97,1,1,HIGH
VND_0106,41,25978518.09122166,1.99,40.4,1,3,HIGH
VND_0025,35,14854592.82,0.83,1.66,1,2,HIGH
VND_0161,73,103530869.45116863,0.98,2.11,0,4,MEDIUM
VND_0229,55,86203796.26503731,0.87,1.84,0,3,MEDIUM
VND_0266,62,83636269.55159052,3.87,75.56,0,3,MEDIUM
VND_0024,95,63688182.93,0.68,1.99,0,36,MEDIUM
VND_0183,53,55906513.59376061,3.35,74.32,0,3,MEDIUM
VND_0246,35,55362888.81,1.07,1.9,0,3,MEDIUM
VND_0065,52,52370111.19,0.99,2.06,0,5,MEDIUM
VND_0003,54,51392829.92414784,1.92,52.46,0,5,MEDIUM
VND_0249,70,50592028.42712759,2.77,78.9,0,3,MEDIUM
VND_0253,51,49963884.52,0.91,1.88,0,3,MEDIUM
VND_0153,54,49785839.54,1.03,1.9,0,4,MEDIUM
VND_0283,61,49668022.71636575,1.94,54.41,0,3,MEDIUM
VND_0243,54,49213865.82,1.06,1.91,0,3,MEDIUM
VND_0163,68,48850219.01194576,3.02,79.84,0,3,MEDIUM
VND_0030,44,47966893.645605125,1.86,38.19,0,6,MEDIUM
VND_0086,59,47738846.44398616,1.09,2.07,0,3,MEDIUM
VND_0162,54,45766241.38948195,3.02,68.4,0,4,MEDIUM
VND_0149,52,45430222.82,1.1,1.99,0,4,MEDIUM
VND_0274,47,45356293.5,1.14,1.96,0,5,MEDIUM
VND_0256,49,44166495.15311987,3.23,65.84,0,3,MEDIUM
VND_0068,52,41830785.743188076,1.06,1.93,0,3,MEDIUM
VND_0112,50,41660248.05203303,1.04,2.21,0,4,MEDIUM
VND_0132,48,41196906.32974541,3.32,73.36,0,7,MEDIUM
VND_0280,42,40805056.52,1.06,1.98,0,3,MEDIUM
VND_0260,56,40465020.97011759,3.23,70.49,0,4,MEDIUM
VND_0263,49,39783290.7,0.98,1.96,0,3,MEDIUM
VND_0272,60,39684212.3865507,1.71,41.78,0,5,MEDIUM
VND_0202,44,38762208.78,0.88,1.94,0,3,MEDIUM
VND_0286,62,38055096.72,0.95,1.94,0,5,MEDIUM
VND_0223,47,37284913.6894094,2.8,47.01,0,4,MEDIUM
VND_0122,45,36947459.29,0.88,1.96,0,6,MEDIUM
VND_0118,54,34511803.68663145,3.06,64.68,0,3,MEDIUM
VND_0298,52,33357547.988334965,3.13,76.85,0,4,MEDIUM
VND_0232,41,32671053.439999998,1.22,1.95,0,5,MEDIUM
VND_0258,45,30281263.64,1.0,1.92,0,4,MEDIUM
VND_0044,56,27269154.610987205,1.1,2.0,0,3,MEDIUM
VND_0005,56,25908592.09349137,3.26,76.4,0,4,MEDIUM
VND_0073,54,24699003.810000002,1.06,2.08,0,3,MEDIUM
VND_0060,38,17033605.037358362,1.01,2.05,0,4,MEDIUM
VND_0032,43,15499390.91,0.98,2.14,0,3,MEDIUM
VND_0267,55,141379699.84,0.94,1.98,0,2,CLEAN
VND_0088,58,117491769.44656898,0.91,1.85,0,0,CLEAN
